show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Lost Memory 1,Bong Joon-ho,"Shah Rukh Khan, Oscar Isaac",United States,"March 20, 2013",1991,G,152 min,Anime Series,A movie about identity set in United States.
s2,Movie,Dark Empire 2,Anurag Kashyap,"Lupita Nyong'o, Shah Rukh Khan, Song Kang-ho, Florence Pugh",United Kingdom,"January 19, 2016",2012,TV-MA,162 min,"Action & Adventure, TV Comedies, Comedies",A movie about identity set in United Kingdom.
s3,Movie,Iron Code 3,Denis Villeneuve,"Viola Davis, Tilda Swinton",Mexico,"March 22, 2013",1996,TV-Y7,138 min,TV Dramas,A movie about family set in Mexico.
s4,Movie,Hidden Memory 4,Park Chan-wook,,China,"August 31, 2011",2019,G,101 min,"Crime TV Shows, International Movies, Horror Movies",A movie about love set in China.
s5,TV Show,Broken Storm 5,,"Penelope Cruz, Tilda Swinton, Deepika Padukone, Daniel Kaluuya",Egypt,"February 17, 2011",2005,G,5 Seasons,"Independent Movies, TV Comedies",A tv show about family set in Egypt.
s6,Movie,Silent Legacy 6,Martin Scorsese,"Idris Elba, Florence Pugh, Tilda Swinton",United Kingdom,"May 13, 2021",2019,G,47 min,"Action & Adventure, Reality TV, Children & Family Movies",A movie about power set in United Kingdom.
s7,Movie,Hidden Shadow 7,,,Germany,"January 03, 2012",1996,PG-13,174 min,"Thrillers, Documentaries, TV Dramas",A movie about crime set in Germany.
s8,Movie,Sacred City 8,Martin Scorsese,"Tom Hardy, Viola Davis, Idris Elba, Florence Pugh, Saoirse Ronan",Spain,"October 07, 2009",1995,TV-14,181 min,Documentaries,A movie about power set in Spain.
s9,Movie,Frozen Promise 9,Mira Nair,"Penelope Cruz, Mahershala Ali, Saoirse Ronan",Brazil,"August 10, 2019",2018,R,61 min,"Dramas, Independent Movies",A movie about identity set in Brazil.
s10,Movie,Crimson Empire 10,,"Shah Rukh Khan, Zendaya, Tom Hardy",United Kingdom,"March 31, 2014",2021,TV-PG,191 min,"British TV Shows, Horror Movies, Music & Musicals",A movie about survival set in United Kingdom.
s11,Movie,Midnight Hour 11,Hayao Miyazaki,"Song Kang-ho, Tom Hardy",Australia,"June 14, 2010",2005,G,159 min,Stand-Up Comedy,A movie about crime set in Australia.
s12,Movie,Crimson Project 12,Spike Lee,"Viola Davis, Tilda Swinton",United States,"April 20, 2013",2000,TV-Y7,99 min,"International Movies, Romantic Movies",A movie about survival set in United States.
s13,Movie,Broken Storm 13,Spike Lee,"Saoirse Ronan, Song Kang-ho, Daniel Kaluuya, Zendaya, Tom Hardy",China,"January 13, 2015",1993,TV-Y7,173 min,"Romantic Movies, International Movies, Korean TV Shows",A movie about love set in China.
s14,TV Show,Midnight Code 14,,"Song Kang-ho, Zendaya, Oscar Isaac, Daniel Kaluuya, Riz Ahmed",Indonesia,"February 02, 2021",2010,R,6 Season,"Documentaries, Sci-Fi & Fantasy",A tv show about survival set in Indonesia.
s15,Movie,Sacred City 15,,"Shah Rukh Khan, Lupita Nyong'o",Germany,"October 30, 2015",1994,PG,117 min,Anime Series,A movie about identity set in Germany.
s16,TV Show,Velvet Truth 16,Martin Scorsese,"Song Kang-ho, Zendaya, Shah Rukh Khan, Saoirse Ronan",Canada,"June 27, 2011",2007,R,6 Season,"Children & Family Movies, Korean TV Shows, British TV Shows",A tv show about family set in Canada.
s17,TV Show,Dark Empire 17,,"Viola Davis, Tom Hardy, Idris Elba, Florence Pugh",Germany,"November 28, 2017",2017,TV-14,2 Seasons,"Documentaries, Reality TV, International Movies",A tv show about family set in Germany.
s18,Movie,Silent Shadow 18,,"Mahershala Ali, Song Kang-ho",Canada,"July 22, 2020",2016,TV-PG,105 min,Romantic Movies,A movie about survival set in Canada.
s19,Movie,Golden City 19,Hayao Miyazaki,"Lupita Nyong'o, Shah Rukh Khan, Florence Pugh",Italy,"July 22, 2018",2004,TV-Y7,134 min,"Horror Movies, Music & Musicals",A movie about love set in Italy.
s20,Movie,Broken Whisper 20,Christopher Nolan,"Mahershala Ali, Tilda Swinton, Lupita Nyong'o, Penelope Cruz",China,"August 14, 2008",1997,PG-13,90 min,"Children & Family Movies, International Movies, Action & Adventure",A movie about identity set in China.
s21,Movie,Golden Truth 21,Mira Nair,"Florence Pugh, Zendaya",Germany,"October 12, 2017",1990,G,95 min,"Stand-Up Comedy, Comedies",A movie about power set in Germany.
s22,TV Show,Velvet Whisper 22,Christopher Nolan,"Oscar Isaac, Tilda Swinton, Penelope Cruz, Idris Elba",Mexico,"April 20, 2012",2016,TV-Y,3 Seasons,"TV Comedies, Reality TV",A tv show about love set in Mexico.
s23,Movie,Crimson Shadow 23,Mira Nair,"Zendaya, Deepika Padukone, Tilda Swinton, Song Kang-ho, Lupita Nyong'o",Japan,"May 13, 2014",2011,R,124 min,Thrillers,A movie about crime set in Japan.
s24,Movie,Crimson Heart 24,Christopher Nolan,"Florence Pugh, Deepika Padukone, Penelope Cruz",United States,"May 23, 2010",2017,G,163 min,Reality TV,A movie about crime set in United States.
s25,TV Show,Midnight Heart 25,,"Zendaya, Oscar Isaac, Riz Ahmed, Mahershala Ali",Turkey,"April 15, 2020",2018,TV-Y7,8 Season,Children & Family Movies,A tv show about identity set in Turkey.
s26,Movie,Crimson Storm 26,Ava DuVernay,"Tilda Swinton, Idris Elba, Lupita Nyong'o, Viola Davis",Spain,"June 05, 2011",2003,TV-Y,129 min,"Anime Series, Stand-Up Comedy, International Movies",A movie about crime set in Spain.
s27,TV Show,Broken City 27,Ava DuVernay,,Philippines,"February 18, 2008",2012,TV-Y,7 Seasons,"Reality TV, Horror Movies, British TV Shows",A tv show about crime set in Philippines.
s28,Movie,Wild Empire 28,Park Chan-wook,"Idris Elba, Riz Ahmed, Deepika Padukone, Shah Rukh Khan, Oscar Isaac",Italy,"August 10, 2008",1995,TV-PG,163 min,International Movies,A movie about family set in Italy.
s29,Movie,Crimson Heart 29,Hayao Miyazaki,"Lupita Nyong'o, Riz Ahmed, Viola Davis, Deepika Padukone, Tom Hardy",India,"November 06, 2015",2004,TV-MA,52 min,Thrillers,A movie about love set in India.
s30,Movie,Crimson Promise 30,Christopher Nolan,"Zendaya, Mahershala Ali, Saoirse Ronan",Japan,"July 27, 2010",2000,TV-14,193 min,Sci-Fi & Fantasy,A movie about identity set in Japan.
s31,Movie,Broken Shadow 31,Bong Joon-ho,,Spain,"October 06, 2014",1997,NR,55 min,"Reality TV, Stand-Up Comedy",A movie about power set in Spain.
s32,Movie,Frozen Hour 32,Hayao Miyazaki,"Riz Ahmed, Idris Elba",Egypt,"October 07, 2017",2001,PG-13,182 min,"Anime Series, Stand-Up Comedy",A movie about power set in Egypt.
s33,Movie,Eternal Project 33,,"Zendaya, Song Kang-ho, Florence Pugh, Deepika Padukone",Italy,"February 01, 2019",2010,R,135 min,"Crime TV Shows, Children & Family Movies",A movie about identity set in Italy.
s34,TV Show,Hidden Legacy 34,,"Deepika Padukone, Mahershala Ali",China,"September 05, 2018",2021,TV-MA,2 Season,"Horror Movies, Sci-Fi & Fantasy",A tv show about power set in China.
s35,Movie,Wild Legacy 35,Hayao Miyazaki,"Mahershala Ali, Daniel Kaluuya, Deepika Padukone, Saoirse Ronan",Spain,"April 26, 2012",2010,G,92 min,Thrillers,A movie about power set in Spain.
s36,Movie,Golden Code 36,Pedro Almodovar,"Penelope Cruz, Saoirse Ronan",Japan,"December 24, 2019",1998,TV-MA,186 min,"Documentaries, British TV Shows",A movie about love set in Japan.
s37,TV Show,Velvet Storm 37,Spike Lee,"Lupita Nyong'o, Riz Ahmed",United Kingdom,"August 29, 2009",1993,NR,5 Season,Action & Adventure,A tv show about identity set in United Kingdom.
s38,TV Show,Velvet Code 38,Bong Joon-ho,"Zendaya, Daniel Kaluuya, Deepika Padukone, Saoirse Ronan, Oscar Isaac",Mexico,"May 08, 2009",1996,R,4 Season,Romantic Movies,A tv show about crime set in Mexico.
s39,Movie,Midnight Promise 39,,"Oscar Isaac, Tom Hardy, Song Kang-ho, Saoirse Ronan, Mahershala Ali",Egypt,"March 27, 2013",2006,NR,95 min,"Action & Adventure, Reality TV",A movie about crime set in Egypt.
s40,Movie,Bright Storm 40,Christopher Nolan,,Indonesia,"October 06, 2020",2008,TV-Y7,122 min,"TV Comedies, Children & Family Movies, Korean TV Shows",A movie about identity set in Indonesia.
s41,Movie,Midnight Code 41,,"Lupita Nyong'o, Tom Hardy, Viola Davis, Song Kang-ho",Philippines,"June 18, 2008",2007,TV-PG,165 min,"Anime Series, Children & Family Movies, Romantic Movies",A movie about identity set in Philippines.
s42,Movie,Dark Heart 42,Spike Lee,"Tilda Swinton, Daniel Kaluuya, Viola Davis, Shah Rukh Khan",Argentina,"December 24, 2016",1992,PG,109 min,"Action & Adventure, TV Comedies",A movie about identity set in Argentina.
s43,TV Show,Lost Hour 43,Spike Lee,"Mahershala Ali, Oscar Isaac, Florence Pugh",Egypt,"July 25, 2012",2007,PG-13,8 Seasons,"Action & Adventure, Dramas",A tv show about power set in Egypt.
